time,Volume fraction
349,0.901999381
350,0.902643729
351,0.903236066
352,0.903798418
353,0.904318045
354,0.904780121
355,0.905239481
356,0.905695419
357,0.906147201
358,0.906594165
359,0.907035797
360,0.907471579
361,0.907901043
362,0.908323855
363,0.908739725
364,0.909148491
365,0.909550067
366,0.909944377
367,0.910331364
368,0.91071099
369,0.911083213
370,0.911448014
371,0.911805393
372,0.912155375
373,0.912497977
374,0.912833227
375,0.913102119
376,0.913365727
377,0.913624143
378,0.913877397
379,0.91412555
380,0.914368671
381,0.914606787
382,0.914839919
383,0.915068113
384,0.915291411
385,0.915509813
386,0.915723284
387,0.915931871
388,0.9161356
389,0.916279606
390,0.916420697
391,0.916558906
392,0.916694222
393,0.916826673
394,0.91695623
395,0.91708288
396,0.917206627
397,0.9173275
398,0.917445487
399,0.917560631
400,0.917672936
401,0.917782474
402,0.917889272
403,0.917993351
404,0.91809473
405,0.918193477
406,0.918289657
407,0.918383293
408,0.918474461
409,0.918563229
410,0.918649685
411,0.918733906
412,0.918815919
413,0.918895831
414,0.918973706
415,0.919049612
416,0.919123595
417,0.919195737
418,0.919266081
419,0.919334698
420,0.919401646
421,0.91946697
422,0.919530707
423,0.9195929
424,0.919653586
425,0.91971279
426,0.919770529
427,0.919826822
428,0.919881682
429,0.919935115
430,0.919987119
431,0.920037699
432,0.920086849
433,0.920134588
434,0.920180925
435,0.920225845
436,0.92026934
437,0.920311415
438,0.920352064
439,0.920391269
440,0.920429013
441,0.920465276
442,0.920500036
443,0.920533256
444,0.920564894
445,0.920594927
446,0.920623343
447,0.920650108
448,0.920675204
449,0.920698589
450,0.920720253
451,0.920740167
452,0.920758288
453,0.920774575
454,0.920788986
455,0.920801492
456,0.920812047
457,0.920820597
458,0.920827119
459,0.920831616
460,0.920834058
461,0.92083439
462,0.920832591
463,0.920828624
464,0.920822437
465,0.920813978
466,0.92080323
467,0.920790174
468,0.920774752
469,0.920756906
470,0.920736597
471,0.920713752
472,0.920688326
473,0.920660278
474,0.920629548
475,0.920596093
476,0.920559839
477,0.920520657
478,0.920478471
479,0.920433243
480,0.9203849
481,0.92033339
482,0.920278635
483,0.920220552
484,0.920159081
485,0.920094147
486,0.920025648
487,0.919953512
488,0.919877649
489,0.919797983
490,0.919691843
491,0.919563524
492,0.91941596
493,0.919244405
494,0.919040029
495,0.918834999
496,0.918634654
497,0.918443501
498,0.91826525
499,0.918102591
500,0.917957469
501,0.917831071
502,0.917723784
503,0.917635212
504,0.917563633
505,0.917506071
506,0.917458177
507,0.917414134
508,0.917366984
509,0.917308743
510,0.917230098
511,0.917120949
512,0.916970596
513,0.916767705
514,0.91650073
515,0.916157768
516,0.91572775
517,0.915200809
518,0.914569139
519,0.913828251
520,0.91297723
521,0.912019596
522,0.910961155
523,0.909810928
524,0.908581557
525,0.907283292
526,0.905928394
527,0.904532893
528,0.903120776
529,0.901727861
530,0.900395069
531,0.899160898
532,0.898053666
533,0.897088158
534,0.896265525
535,0.895578678
536,0.895014309
537,0.894555455
538,0.894183693
539,0.893882053
540,0.893635159
541,0.893429219
542,0.893253297
543,0.893099153
544,0.892963007
545,0.892843705
546,0.892752825
547,0.892716495
548,0.892764664
549,0.892916548
550,0.893179696
551,0.893556196
552,0.894042155
553,0.894627553
554,0.895299453
555,0.89604341
556,0.896840906
557,0.897605063
558,0.898337298
559,0.899038242
560,0.899686982
561,0.900261688
562,0.900830971
563,0.901392945
564,0.901946307
565,0.902490214
566,0.903024162
567,0.903547722
568,0.904060664
569,0.904562877
570,0.905054288
571,0.905534806
572,0.906004524
573,0.906463591
574,0.906912134
575,0.907350363
576,0.907778516
577,0.908196851
578,0.908605634
579,0.908931389
580,0.909250619
581,0.909563538
582,0.909870356
583,0.910171234
584,0.910466326
585,0.910755756
586,0.911039648
587,0.911318157
588,0.911591366
589,0.911859353
590,0.912122136
591,0.912379765
592,0.912632272
593,0.912879632
594,0.913121825
595,0.913358834
596,0.913590634
597,0.91381719
598,0.914038449
599,0.914254331
600,0.914464865
601,0.914670067
602,0.914869819
603,0.915064102
604,0.915252902
605,0.915436231
606,0.915614032
607,0.915786285
608,0.915952919
609,0.916114002
610,0.916269534
611,0.916419578
612,0.916564267
613,0.916703648
614,0.916837727
615,0.916966641
616,0.91709026
617,0.917208617
618,0.917321748
619,0.917429605
620,0.91753216
621,0.917629423
622,0.917721449
623,0.917808221
624,0.917889767
625,0.917966081
626,0.918037122
627,0.918080419
628,0.918120409
629,0.918157077
630,0.918190318
631,0.918220142
632,0.918246541
633,0.918269464
634,0.918288771
635,0.918304387
636,0.918316254
637,0.918324347
638,0.918328643
639,0.918329204
640,0.918326092
641,0.918319342
642,0.918309002
643,0.918295147
644,0.918277968
645,0.918257592
646,0.918234202
647,0.91820794
648,0.918178984
649,0.918147579
650,0.91811401
651,0.918078551
652,0.918041407
653,0.918002959
654,0.917963581
655,0.917923601
656,0.917883399
657,0.917843311
658,0.917803691
659,0.917764882
660,0.917727195
661,0.917690957
662,0.917656443
663,0.917623858
664,0.917593413
665,0.917565302
666,0.917539641
667,0.917516525
668,0.917495983
669,0.917478065
670,0.917462727
671,0.917449914
672,0.917439542
673,0.917431465
674,0.917425562
675,0.917421662
676,0.917419608
677,0.917419248
678,0.917420447
679,0.917423062
680,0.917426836
681,0.917431541
682,0.917436895
683,0.917442659
684,0.91744859
685,0.91745444
686,0.917460007
687,0.917465109
688,0.917469574
689,0.917473177
690,0.91747575
691,0.917477173
692,0.917477246
693,0.917475872
694,0.91747295
695,0.917468358
696,0.917461942
697,0.91745363
698,0.917443395
699,0.917431157
700,0.917416759
701,0.917400099
702,0.917380978
703,0.917359151
704,0.917334399
705,0.917306531
706,0.917275451
707,0.917241073
708,0.917203331
709,0.917162229
710,0.917117778
711,0.917069979
712,0.917004421
713,0.916923748
714,0.916830784
715,0.916715957
716,0.916606432
717,0.916500791
718,0.916394819
719,0.916285409
720,0.916171033
721,0.916051509
722,0.91592767
723,0.915801767
724,0.915676018
725,0.915552634
726,0.915432761
727,0.915317152
728,0.915205227
729,0.915094519
730,0.914979672
731,0.914851616
732,0.914696804
733,0.914497908
734,0.914233044
735,0.913879632
736,0.913416799
737,0.912828717
738,0.912107581
739,0.911256214
740,0.910284385
741,0.909205394
742,0.908029819
743,0.906760768
744,0.905396149
745,0.903930558
746,0.902364836
747,0.900718201
748,0.899060887
749,0.897531467
750,0.896256087
751,0.895274066
752,0.89457277
753,0.894121744
754,0.893883062
755,0.89381742
756,0.893888861
757,0.894063571
758,0.894310832
759,0.89460663
760,0.894930778
761,0.895267366
762,0.895603977
763,0.895926764
764,0.896223135
765,0.896483712
766,0.896701332
767,0.896873272
768,0.897007019
769,0.897122486
770,0.897263143
771,0.897481386
772,0.897810035
773,0.898258534
774,0.898819804
775,0.899478019
776,0.900177704
777,0.900863221
778,0.901544063
779,0.902195967
780,0.902796544
781,0.903324627
782,0.903845272
783,0.90435693
784,0.904858762
785,0.905349988
786,0.905830203
787,0.906298993
788,0.906756345
789,0.907202312
790,0.907636922
791,0.908060379
792,0.908472942
793,0.908874875
794,0.909266448
795,0.909647979
796,0.910019791
797,0.910382231
798,0.910735641
799,0.911016177
800,0.911290576
801,0.911559072
802,0.911821841
803,0.912079041
804,0.91233079
805,0.912577245
806,0.912818519
807,0.913054681
808,0.913285769
809,0.913511854
810,0.91373298
811,0.913949154
812,0.914160276
813,0.91436636
814,0.914567339
815,0.914763308
816,0.914954152
817,0.91513974
818,0.915320108
819,0.915495313
820,0.915665263
821,0.915829875
822,0.915989117
823,0.916142876
824,0.916291114
825,0.916433876
826,0.91657117
827,0.916703195
828,0.916829924
829,0.916951402
830,0.917067658
831,0.917178618
832,0.917284114
833,0.917384027
834,0.917478341
835,0.91756683
836,0.917649238
